Sample_ID,Preprocessing_Time_ms,Inference_Time_ms,Postprocessing_Time_ms,Rendering_Time_ms,Total_Time_ms
0,1.0107,499.1882,0.0010,68.3966,583.4777
1,0.9995,4.2138,0.0010,6.0039,11.2171
2,0.0010,6.0084,0.0010,7.0004,13.0088
3,0.0010,5.0015,0.0010,6.9969,11.9984
4,0.0010,5.0032,0.0010,7.9999,13.0031
5,1.0011,4.0004,0.0010,4.9982,9.9998
6,0.0010,4.0009,0.0010,6.9983,10.9992
7,0.0010,8.0090,0.0010,7.1535,15.1625
8,0.0010,9.5122,0.0010,6.9985,16.5107
9,0.0010,6.0091,0.0010,6.9973,13.0064
10,0.0010,4.0116,0.0010,7.1278,11.1394
11,0.0010,4.0066,0.0010,6.0008,10.0074
12,0.0010,3.9992,0.0010,6.9997,10.9990
13,0.0010,4.9999,0.0010,6.9997,11.9996
14,0.0010,5.0189,0.0010,5.5072,10.5262
15,0.0010,4.0071,0.0010,5.9991,10.0062
16,0.0010,3.9997,0.0010,6.0234,10.0231
17,0.0010,3.9999,0.0010,5.0001,9.0001
18,1.0011,2.9993,0.0010,5.9993,9.9998
19,0.0010,8.0068,0.0010,7.0028,15.0096
20,0.0010,4.0123,0.0010,5.9996,10.0119
21,0.0010,4.9996,0.0010,6.0019,11.0016
22,0.0010,4.9984,0.0010,5.9996,10.9980
23,0.0010,4.0004,0.0010,6.0027,10.0031
24,0.0010,4.0011,0.0010,11.5054,15.5065
25,0.0010,4.0193,0.0010,6.0005,10.0198
26,0.0010,4.0116,0.0010,6.0003,10.0119
27,0.0010,4.0009,0.0010,5.9988,9.9998
28,0.0010,4.0004,0.0010,5.0001,9.0005
29,0.0010,4.0061,0.0010,5.9998,10.0060
30,0.0010,5.0063,0.0010,6.9997,12.0060
31,0.0010,6.0072,0.0010,6.9995,13.0067
32,0.0010,7.0021,0.0010,5.9996,13.0017
33,0.0010,4.5013,0.0010,7.1826,11.6839
34,0.0010,7.0069,0.0010,7.0002,14.0071
35,0.0010,4.0083,0.0010,4.9982,9.0065
36,0.0010,8.0075,0.0010,5.9996,14.0071
37,0.0010,3.9995,0.0010,5.0001,8.9996
38,0.0010,3.0067,0.0010,6.9997,10.0064
39,0.0010,4.0073,0.0010,7.0000,11.0073
40,0.0010,7.9992,0.0010,7.0035,15.0027
41,0.0010,8.0197,0.0010,7.9982,16.0179
42,0.0010,7.0074,0.0010,7.9994,15.0068
43,0.0010,6.0079,0.0010,7.9987,14.0066
44,0.0010,8.0068,0.0010,6.9993,15.0061
45,0.0010,3.0074,0.0010,5.9988,9.0063
46,0.0010,4.0016,0.0010,6.0012,10.0029
47,0.0010,4.0131,0.0010,4.9996,9.0127
48,0.0010,3.0062,0.0010,5.0461,8.0523
49,0.0010,9.0003,0.0010,5.9996,14.9999
50,0.0010,3.0007,0.0010,6.9981,9.9988
51,0.0010,3.0060,0.0010,5.0001,8.0061
52,0.0010,5.0082,0.0010,7.9987,13.0069
53,0.0010,5.0204,0.0010,7.0002,12.0206
54,0.0010,4.9999,0.0010,5.0001,10.0000
55,0.0010,9.0027,0.0010,6.0000,15.0027
56,0.0010,3.0067,0.0010,10.1280,13.1347
57,0.0010,8.0123,0.0010,6.9997,15.0120
58,0.0010,3.9995,0.0010,6.0000,9.9995
59,0.0010,3.0062,0.0010,7.0000,10.0062
60,0.0010,6.0072,0.0010,4.9996,11.0068
61,1.0004,2.9993,0.0010,5.9998,9.9995
62,0.0010,4.0073,0.0010,8.0006,12.0080
63,0.0010,4.0181,0.0010,6.0024,10.0205
64,0.0010,4.0090,0.0010,4.5021,8.5111
65,0.9999,3.9992,0.0010,6.0005,10.9997
66,0.0010,6.0070,0.0010,7.9999,14.0069
67,0.0010,4.0064,0.0010,5.9996,10.0060
68,0.0010,4.0004,0.0010,6.9997,11.0002
69,0.0010,2.9995,0.0010,6.0000,8.9996
70,0.0010,8.0185,0.0010,6.0031,14.0216
71,0.0010,7.9951,0.0010,6.0019,13.9971
72,0.0010,6.0031,0.0010,11.5559,17.5591
73,0.0010,4.9994,0.0010,8.0001,12.9995
74,0.0010,6.2981,0.0010,6.0034,12.3014
75,0.0010,3.9973,0.0010,5.9998,9.9971
76,1.0006,3.4950,0.0010,5.9998,10.4954
77,0.0010,7.0012,0.0010,6.9983,13.9995
78,0.0010,3.9999,0.0010,6.4251,10.4251
79,0.9990,4.0019,0.0010,6.0077,11.0085
80,0.0010,3.9992,0.0010,4.9996,8.9989
81,0.0010,4.0908,0.0010,5.0030,9.0938
82,1.0002,3.0000,0.0010,5.9998,10.0000
83,0.0010,3.9997,0.0010,5.9979,9.9976
84,0.0010,7.0031,0.0010,5.9967,12.9998
85,0.0010,4.0069,0.0010,5.9998,10.0067
86,0.0010,4.0123,0.0010,6.9997,11.0121
87,0.0010,4.0081,0.0010,5.9984,10.0064
88,0.0010,3.9990,0.0010,5.0092,9.0082
89,0.0010,3.9966,0.0010,5.0004,8.9970
90,0.0010,4.0064,0.0010,7.0007,11.0071
91,0.9999,7.9999,0.0010,6.0003,15.0001
92,0.0010,4.0033,0.0010,5.0008,9.0041
93,0.0010,4.0009,0.0010,7.9987,11.9996
94,0.0010,4.0081,0.0010,6.9985,11.0066
95,0.0010,4.0073,0.0010,3.9988,8.0061
96,0.0010,3.9997,0.0010,6.0000,9.9998
97,0.0010,4.0076,0.0010,6.9988,11.0064
98,0.0010,3.2067,0.0010,5.9988,9.2056
99,0.0010,4.0071,0.0010,5.9998,10.0069
